Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
MTL_82_cpFP24h_rawWW_2021-04-20_2-1516699_S239_L002;2021-04-20;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-21_2-1516700_S240_L002;2021-04-21;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-22_2-1516751_S241_L002;2021-04-22;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-23_2-1516752_S242_L002;2021-04-23;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-24_2-1516753_S243_L002;2021-04-24;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-25_2-1516754_S244_L002;2021-04-25;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-28_2-1516755_S245_L002;2021-04-28;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-30_2-1516756_S246_L002;2021-04-30;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-05-04_2-1516757_S247_L002;2021-05-04;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-05-05_2-1516758_S248_L002;2021-05-05;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-05-06_2-1516759_S249_L002;2021-05-06;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-05-07_2-1516760_S250_L002;2021-05-07;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
Mtl_9_25-02-2021_Vstl-III_Grab_2-1339220_S176_L002;25-02-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_ANJOU-12_cpTP24h_01-03-2021_RAW_2-1339249_S202_L002;01-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP24h_02-03-2021_RAW_2-1339307_S210_L002;02-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP24h_03-03-2021_RAW_2-1339315_S218_L002;03-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP24h_04-03-2021_RAW_2-1339323_S226_L002;04-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP24h_05-03-2021_RAW_2-1339331_S234_L002;05-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP24h_26-02-2021_RAW_2-1339241_S194_L002;26-02-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_cpTP72h_08-03-2021_RAW_2-1339339_S242_L002;08-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Composite;
MTL_ANJOU-12_grb_01-03-2021_RAW_2-1339248_S201_L002;01-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_02-03-2021_RAW_2-1339306_S209_L002;02-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_03-03-2021_RAW_2-1339314_S217_L002;03-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_04-03-2021_RAW_2-1339322_S225_L002;04-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_05-03-2021_RAW_2-1339330_S233_L002;05-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_08-03-2021_RAW_2-1339338_S241_L002;08-03-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_ANJOU-12_grb_26-02-2021_RAW_2-1339240_S193_L002;26-02-2021;12-Anjou-ind;Montreal;Industrial zone;Anjou;Grab;
MTL_BORD-16_cpTP24h_01-03-2021_RAW_2-1339247_S200_L002;01-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_cpTP24h_02-03-2021_RAW_2-1339305_S208_L002;02-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_cpTP24h_03-03-2021_RAW_2-1339313_S216_L002;03-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_cpTP24h_04-03-2021_RAW_2-1339321_S224_L002;04-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_cpTP24h_05-03-2021_RAW_2-1339329_S232_L002;05-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_cpTP72h_08-03-2021_RAW_2-1339337_S240_L002;08-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Composite;
MTL_BORD-16_grb_01-03-2021_RAW_2-1339246_S199_L002;01-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_BORD-16_grb_02-03-2021_RAW_2-1339304_S207_L002;02-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_BORD-16_grb_03-03-2021_RAW_2-1339312_S215_L002;03-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_BORD-16_grb_04-03-2021_RAW_2-1339320_S223_L002;04-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_BORD-16_grb_05-03-2021_RAW_2-1339328_S231_L002;05-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_BORD-16_grb_08-03-2021_RAW_2-1339336_S239_L002;08-03-2021;16-Bordeau;Montreal;Prison;Bordeau;Grab;
MTL_CDN-05_cpTP24h_01-03-2021_RAW_2-1339245_S198_L002;01-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
MTL_CDN-05_cpTP24h_02-03-2021_RAW_2-1339303_S206_L002;02-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
MTL_CDN-05_cpTP24h_03-03-2021_RAW_2-1339311_S214_L002;03-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
MTL_CDN-05_cpTP24h_04-03-2021_RAW_2-1339319_S222_L002;04-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
MTL_CDN-05_cpTP24h_05-03-2021_RAW_2-1339327_S230_L002;05-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
MTL_CDN-05_cpTP72h_08-03-2021_RAW_2-1339335_S238_L002;08-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Composite;
