Sample;Sampling_date;Sampling_site;Ct
MTL_11_PS_Filter;2021-04-29;11-VSTL-ind;39.824494069611
MTL_05_PS_Filter;2021-04-29;05-CoteDNeige;32.864578089854
MTL_16_PS_Filter;2021-04-29;16-Bordeau;42.391
MTL_11_PS_Filter;2021-04-30;11-VSTL-ind;35.9225628780557
MTL_05_PS_Filter;2021-04-30;05-CoteDNeige;31.0733315474285
MTL_16_PS_Filter;2021-04-30;16-Bordeau;32.9205517383836
MTL_12_PS_Filter;2021-04-30;12-Anjou-ind;40.01197544507
MTL_11_cpTP24h_Raw;2021-04-30;11-VSTL-ind;33.9277166005742
MTL_05_cpTP24h_Raw;2021-04-30;05-CoteDNeige;30.6151109822992
MTL_16_cpTP24h_Raw;2021-04-30;16-Bordeau;29.6880369336222
MTL_12_cpTP24h_Raw;2021-04-30;12-Anjou-ind;37.1167923523216
MTL_11_cpTP24h_Raw;2021-05-03;11-VSTL-ind;37.7854215285072
MTL_05_cpTP24h_Raw;2021-05-03;05-CoteDNeige;32.7222362408289
MTL_16_cpTP24h_Raw;2021-05-03;16-Bordeau;30.4813211465471
MTL_12_cpTP24h_Raw;2021-05-03;12-Anjou-ind;40.2497401358643
MTL_11_PS_Filter;2021-05-03;11-VSTL-ind;39.3696544215291
MTL_05_PS_Filter;2021-05-03;05-CoteDNeige;32.2342000657409
MTL_16_PS_Filter;2021-05-03;16-Bordeau;29.5084291546751
MTL_12_PS_Filter;2021-05-03;12-Anjou-ind;39.8244352159285
MTL_11_cpTP24h_Raw;2021-05-04;11-VSTL-ind;38.0391326053723
MTL_05_cpTP24h_Raw;2021-05-04;05-CoteDNeige;33.1509251649068
MTL_16_cpTP24h_Raw;2021-05-04;16-Bordeau;28.0100961083118
MTL_12_cpTP24h_Raw;2021-05-04;12-Anjou-ind;39.6346366812078
MTL_11_PS_Filter;2021-05-04;11-VSTL-ind;39.7282093249263
MTL_05_PS_Filter;2021-05-04;05-CoteDNeige;42.391
MTL_16_PS_Filter;2021-05-04;16-Bordeau;42.391
MTL_12_PS_Filter;2021-05-04;12-Anjou-ind;39.4303630249942
MTL_11_cpTP24h_Raw;2021-05-05;11-VSTL-ind;37.9737337694101
MTL_05_cpTP24h_Raw;2021-05-05;05-CoteDNeige;31.5269808277341
MTL_16_cpTP24h_Raw;2021-05-05;16-Bordeau;27.879373611818
MTL_12_cpTP24h_Raw;2021-05-05;12-Anjou-ind;38.0042403220952
MTL_11_PS_Filter;2021-05-05;11-VSTL-ind;42.391
MTL_05_PS_Filter;2021-05-05;05-CoteDNeige;31.782355800059
MTL_16_PS_Filter;2021-05-05;16-Bordeau;36.0815625974025
MTL_12_PS_Filter;2021-05-05;12-Anjou-ind;39.2947706965309
MTL_11_cpTP24h_Raw;2021-05-06;11-VSTL-ind;37.874851200967
MTL_16_cpTP24h_Raw;2021-05-06;16-Bordeau;29.8714901922996
MTL_12_cpTP24h_Raw;2021-05-06;12-Anjou-ind;33.8581111218979
MTL_11_PS_Filter;2021-05-07;11-VSTL-ind;40.5721922778471
MTL_05_PS_Filter;2021-05-07;05-CoteDNeige;31.8935849918621
MTL_16_PS_Filter;2021-05-07;16-Bordeau;34.2381440595626
MTL_12_PS_Filter;2021-05-07;12-Anjou-ind;40.1475399422801
MTL_11_cpTP24h_Raw;2021-05-07;11-VSTL-ind;39.8474002340137
MTL_05_cpTP24h_Raw;2021-05-07;05-CoteDNeige;33.4726290529003
MTL_16_cpTP24h_Raw;2021-05-07;16-Bordeau;32.1447333459901
MTL_12_cpTP24h_Raw;2021-05-07;12-Anjou-ind;42.391
MTL_11_PS_Filter;2021-05-10;11-VSTL-ind;41.4990607135026
MTL_16_PS_Filter;2021-05-10;16-Bordeau;33.5185215536468
MTL_12_PS_Filter;2021-05-10;12-Anjou-ind;42.391
MTL_8-1_PS_Filter;2021-05-10;8.1-MtlNord-Est;36.1068289921033
MTL_8-2_PS_Filter;2021-05-10;8.2-MtlNord-Est;35.605868491313
MTL_11_cpTP24h_Raw;2021-05-08;11-VSTL-ind;NA
MTL_05_cpTP24h_Raw;2021-05-08;05-CoteDNeige;NA
MTL_16_cpTP24h_Raw;2021-05-08;16-Bordeau;NA
MTL_12_cpTP24h_Raw;2021-05-08;12-Anjou-ind;NA
MTL_8-1_cpFP24h_Raw;2021-05-08;8.1-MtlNord-Est;NA
MTL_8-2_cpFP24h_Raw;2021-05-08;8.2-MtlNord-Est;NA
MTL_11_cpTP24h_Raw;2021-05-09;11-VSTL-ind;NA
MTL_05_cpTP24h_Raw;2021-05-09;05-CoteDNeige;NA
MTL_16_cpTP24h_Raw;2021-05-09;16-Bordeau;NA
MTL_12_cpTP24h_Raw;2021-05-09;12-Anjou-ind;NA
MTL_8-1_cpFP24h_Raw;2021-05-09;8.1-MtlNord-Est;NA
